"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.214280783E2,6.285130005E0,-1.288310944E1,5.484594727E-1,1.434497040E1
3.214381113E2,6.726112976E0,-1.253493347E1,-3.651955719E0,1.468679453E1
3.214481443E2,6.412215729E0,-1.211715225E1,-4.761298828E0,1.451247242E1
3.214581773E2,5.286855927E0,-1.135194351E1,-2.918480988E0,1.285826576E1
3.214682093E2,3.845203857E0,-1.049183212E1,-6.566844177E-1,1.119354137E1
3.214782423E2,2.810555420E0,-9.805359650E0,1.804347839E0,1.035856992E1
3.214882753E2,1.666035461E0,-9.319320374E0,3.702101440E0,1.016518379E1
3.214983083E2,6.468049622E-1,-8.432564392E0,4.233945465E0,9.457948672E0
3.215083413E2,3.466790771E-1,-7.440128174E0,3.562591553E0,8.256376457E0
3.215183733E2,2.787203979E-1,-6.736441498E0,2.631677399E0,7.237613905E0
3.215284063E2,1.646575928E-2,-6.150410156E0,2.225871277E0,6.540819456E0
3.215384393E2,3.667373657E-1,-5.403014374E0,2.325114899E0,5.893489621E0
3.215484723E2,3.908372498E-1,-4.873864746E0,2.643353119E0,5.558293536E0
3.215585043E2,2.644999695E-1,-4.641248474E0,2.799328766E0,5.426544865E0
3.215685373E2,1.872605896E-1,-4.536017303E0,3.125949554E0,5.511994206E0
3.215785703E2,1.384620667E-1,-4.686753845E0,3.112178192E0,5.627653725E0
3.215886033E2,2.552192688E-1,-4.886737976E0,2.887495422E0,5.681810868E0
3.215986353E2,7.661068726E-1,-4.894671478E0,2.691403198E0,5.638118462E0
3.216086683E2,1.330732727E0,-4.704117737E0,2.711910553E0,5.590530576E0
3.216187013E2,1.706750793E0,-4.319866791E0,2.932252350E0,5.492936483E0
3.216287343E2,1.994751892E0,-3.885021057E0,3.301833801E0,5.474900015E0
3.216387673E2,2.321222992E0,-3.394191742E0,3.626658325E0,5.482815369E0
3.216487993E2,2.650837555E0,-2.877765656E0,3.823049927E0,5.470300326E0
3.216588323E2,2.924169159E0,-2.503693542E0,3.816912689E0,5.421076379E0
3.216688653E2,2.897823944E0,-2.499502258E0,3.518732758E0,5.198689774E0
3.216788983E2,2.875819702E0,-2.951113129E0,3.379073181E0,5.328934530E0
3.216889303E2,2.982398071E0,-3.954626312E0,3.293151855E0,5.947992659E0
3.216989633E2,3.128045197E0,-5.423072662E0,2.763852539E0,6.843483375E0
3.217089963E2,3.388802948E0,-7.302264862E0,1.682351532E0,8.224193834E0
3.217190293E2,3.382366333E0,-9.661808167E0,-3.426374817E-1,1.024247722E1
3.217290613E2,1.929487610E0,-1.693638062E1,-2.761801804E1,3.245487376E1
3.217390943E2,-3.640429688E0,-3.536904968E1,-6.607993607E1,7.503852580E1
3.217491273E2,-6.630162506E0,-3.827016678E1,-3.426404755E1,5.179372235E1
3.217591603E2,-6.087241516E0,-2.899545364E1,-1.297187485E1,3.234285668E1
3.217691933E2,-1.781595154E0,-1.926883026E1,-5.128634949E0,2.001911080E1
3.217792253E2,1.292113037E0,-1.215726883E1,-1.657952271E0,1.233764756E1
3.217892583E2,1.053060150E0,-7.302863617E0,1.046174469E0,7.452196569E0
3.217992913E2,6.798861694E-1,-3.398832092E0,2.927013245E0,4.536707102E0
3.218093243E2,8.957373047E-1,-8.801696777E-1,3.733536072E0,3.939078011E0
3.218193563E2,1.742376709E0,1.477427673E-1,4.029320984E0,4.392394804E0
3.218293893E2,3.569626923E0,-5.185217285E-1,4.581822052E0,5.831311556E0
3.218394223E2,6.033503265E0,-3.058290253E0,5.267396393E0,8.573317076E0
3.218494553E2,8.554560699E0,-7.097191315E0,5.617967377E0,1.245440447E1
3.218594873E2,1.087174210E1,-1.149354904E1,5.420977020E0,1.672373875E1
3.218695203E2,1.237132370E1,-1.439945618E1,4.013903046E0,1.940374721E1
3.218795533E2,1.293594955E1,-1.605651031E1,2.076481934E0,2.072346717E1
3.218895863E2,9.040300598E0,-1.548275345E1,-8.411009216E-1,1.794854145E1
3.218996193E2,2.620301056E0,-1.219648727E1,-2.927013245E0,1.281357429E1
3.219096513E2,-8.027806091E-1,-1.066232758E1,-2.349813538E0,1.094766229E1
3.219196843E2,-2.877017212E0,-9.100325775E0,-3.745211792E-1,9.551618887E0
3.219297173E2,-3.459605713E0,-8.134234772E0,4.062551880E-1,8.848711222E0
3.219397503E2,-3.467838593E0,-7.450157318E0,-1.842668152E-1,8.219775108E0
3.219497823E2,-3.139421539E0,-6.806795197E0,-1.119821320E0,7.579078324E0
3.219598153E2,-1.437909851E0,-6.185287628E0,-5.957611084E-2,6.350505263E0
3.219698483E2,-2.155517578E-2,-6.045029297E0,7.488926697E-1,6.091279345E0
3.219798813E2,3.508703613E-1,-6.540648651E0,1.059496765E0,6.635188632E0
3.219899133E2,7.469467163E-2,-7.573949890E0,1.404678955E0,7.703467998E0
3.219999463E2,-5.965095520E-1,-9.246421967E0,1.754800873E0,9.430348293E0
3.220099793E2,-1.220262451E0,-1.162153290E1,2.021246796E0,1.185894203E1
3.220200123E2,-1.715283051E0,-1.384141663E1,2.186203766E0,1.411759530E1
3.220300453E2,-2.253114624E0,-1.516406616E1,2.482437744E0,1.553022618E1
3.220400773E2,-2.712808685E0,-1.526271103E1,2.564467163E0,1.571261184E1
3.220501103E2,-2.817890167E0,-1.364158218E1,2.185006256E0,1.409991212E1
3.220601433E2,-2.502046967E0,-1.165850601E1,1.454076233E0,1.201229949E1
3.220701763E2,-1.673220520E0,-1.023092468E1,5.090913391E-1,1.037933817E1
