"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.580443708E0,-9.631271667E0,-6.858587494E0,3.492387543E0,1.232876259E1
1.590466708E0,-1.183918030E1,-7.560627594E0,5.850284271E0,1.521693484E1
1.600489708E0,-1.095077774E1,-7.965236206E0,5.067711639E0,1.445843083E1
1.610512708E0,-1.046279251E1,-8.319250031E0,3.839365997E0,1.390757633E1
1.620535708E0,-1.207224564E1,-5.652695160E0,3.423680420E0,1.376276371E1
1.630558708E0,-1.230501160E1,-2.213596802E0,3.715423737E0,1.304291742E1
1.640581708E0,-1.251921616E1,-3.327580261E-1,3.603157196E0,1.303166309E1
1.650604708E0,-1.266501297E1,7.867639160E-1,2.549797668E0,1.294306838E1
1.660627708E0,-1.144879211E1,2.350262604E0,1.444047089E0,1.177641062E1
1.670650708E0,-9.663604431E0,2.398013306E0,2.498604126E0,1.026541480E1
1.680673708E0,-8.777746582E0,7.716453552E-1,4.135001221E0,9.733576255E0
1.690696708E0,-8.407716064E0,-1.139131165E-1,6.150559845E0,1.041787176E1
1.700719708E0,-7.437583466E0,-1.110690308E-1,8.139024811E0,1.102604684E1
1.710743708E0,-6.386469269E0,-2.963836670E-2,9.371861115E0,1.134106031E1
1.720766708E0,-5.906267853E0,2.020797729E-2,9.604477386E0,1.127521149E1
1.730789708E0,-5.712870026E0,-2.550695801E-1,9.316625977E0,1.093167252E1
1.740812708E0,-4.893324280E0,2.157014465E-1,8.980874176E0,1.022972388E1
1.750835708E0,-4.093836823E0,7.625143433E-1,9.611812134E0,1.047510671E1
1.760858708E0,-3.997886353E0,9.690847778E-1,1.064466431E1,1.141188410E1
1.770881708E0,-4.009711761E0,5.963598633E-1,1.008632538E1,1.087048265E1
1.780904708E0,-3.576512604E0,2.619552612E-1,8.989556122E0,9.678439039E0
1.790927708E0,-2.794688416E0,2.107617188E-1,8.723110199E0,9.162278941E0
1.800950708E0,-1.976190491E0,1.037342834E-1,8.671018524E0,8.893967163E0
1.810973708E0,-6.599775696E-1,8.098159790E-2,8.320746918E0,8.347272470E0
1.820996708E0,1.895059204E-1,-6.405180359E-1,7.969577179E0,7.997520632E0
1.831019708E0,-2.794688416E-1,-1.499880981E0,7.913743286E0,8.059471359E0
1.841042708E0,-8.544232178E-1,-1.080153809E0,8.421337738E0,8.533211622E0
1.851065708E0,-1.648671570E0,-2.125579834E-1,8.595725098E0,8.754986510E0
1.861088708E0,-2.305505676E0,2.850073242E-1,8.270601196E0,8.590659448E0
1.871111708E0,-2.536625061E0,9.131011963E-1,7.868836670E0,8.317860965E0
1.881134708E0,-3.185974731E0,1.057550812E0,7.283553772E0,8.019912983E0
1.891157708E0,-3.831582184E0,9.948312378E-1,7.081773376E0,8.113089755E0
1.901180708E0,-3.805236969E0,7.927514648E-1,6.974895630E0,7.984826380E0
1.911203708E0,-3.148552551E0,1.886077881E-1,7.060367889E0,7.732900542E0
1.921226708E0,-2.333497467E0,-5.257067871E-1,7.525151367E0,7.896168764E0
1.931250708E0,-1.639690247E0,-1.217717743E0,7.271578674E0,7.552964784E0
1.941273708E0,-1.437909851E0,-1.713486786E0,7.276668091E0,7.612720946E0
1.951296708E0,-1.819466400E0,-1.865869904E0,7.709118805E0,8.137717200E0
1.961319708E0,-2.342329102E0,-1.663191376E0,7.681127014E0,8.200757488E0
1.971342708E0,-2.839445343E0,-1.398841095E0,7.787406006E0,8.406122683E0
1.981365708E0,-3.288810883E0,-1.275647278E0,8.623716888E0,9.317298212E0
1.991388708E0,-3.875890045E0,-1.510658569E0,9.163793793E0,1.006378307E1
2.001411708E0,-3.962709503E0,-1.909579010E0,8.769962769E0,9.811310084E0
2.011434708E0,-4.309987335E0,-2.646346893E0,8.278534698E0,9.701199898E0
2.021457708E0,-3.964805145E0,-3.069666595E0,8.434061279E0,9.812029480E0
