"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.345390958E0,1.146016846E0,6.358776855E-1,1.284643570E1,1.291311756E1
1.355421958E0,9.431886292E-1,7.797285461E-1,1.230052094E1,1.236124576E1
1.365453959E0,6.741979980E-1,9.500743103E-1,1.169248535E1,1.175037863E1
1.375485958E0,4.221221924E-1,1.157093811E0,1.116677856E1,1.123450029E1
1.385517958E0,2.022294617E-1,1.367406464E0,1.065454376E1,1.074383544E1
1.395549958E0,1.945953369E-2,1.522483978E0,9.968370667E0,1.008398482E1
1.405581958E0,-8.277786255E-2,1.587299194E0,9.222172394E0,9.358142688E0
1.415613958E0,-7.604187012E-2,1.644779663E0,8.594976654E0,8.751268833E0
1.425645958E0,6.361770630E-2,1.772015076E0,8.110733643E0,8.302293952E0
1.435676958E0,2.374063110E-1,1.894310760E0,7.748936005E0,7.980650614E0
1.445708958E0,3.388952637E-1,2.002685394E0,7.507188721E0,7.777112657E0
1.455740958E0,4.099974060E-1,2.086062012E0,7.351961517E0,7.653175207E0
1.465772958E0,3.939807129E-1,2.186802521E0,7.276668091E0,7.608365434E0
1.475804958E0,3.662882996E-1,2.239043884E0,7.293133850E0,7.637884916E0
1.485836959E0,3.803590393E-1,2.224973145E0,7.359745331E0,7.698118590E0
1.495868958E0,3.933819580E-1,2.212099915E0,7.425907745E0,7.758365887E0
1.505900958E0,3.975732422E-1,2.250270538E0,7.496560822E0,7.837104448E0
1.515932958E0,3.713777161E-1,2.315385132E0,7.652386780E0,8.003621252E0
1.525963958E0,2.037263489E-1,2.417622528E0,7.881709900E0,8.246681397E0
1.535995958E0,-2.529739380E-2,2.564467163E0,8.052654419E0,8.451175952E0
1.546027958E0,-2.121089172E-1,2.730322266E0,8.182284851E0,8.628408616E0
1.556059958E0,-2.580633545E-1,2.937042389E0,8.284821625E0,8.793809416E0
1.566091958E0,-3.195854187E-1,3.093167725E0,8.308622131E0,8.871472433E0
