"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.193049875E0,1.023092468E1,2.795586548E0,6.375092926E0,1.237452762E1
1.203067875E0,1.040965302E1,3.440146179E0,6.617438965E0,1.280570108E1
1.213085875E0,1.022508682E1,1.891017609E0,5.665119324E0,1.184153390E1
1.223103875E0,9.465416565E0,-1.849104767E0,4.842130737E0,1.079164164E1
1.233121875E0,8.286767578E0,-4.773124237E0,5.165907440E0,1.086921485E1
1.243139875E0,6.623875580E0,-9.389225006E0,6.499783630E0,1.320153253E1
1.253157875E0,5.253924408E0,-1.221968903E1,8.548124084E0,1.581122851E1
1.263175875E0,4.034560089E0,-9.883347473E0,7.511380005E0,1.305293308E1
1.273193875E0,2.685565338E0,-8.991951141E0,7.381450195E0,1.193956672E1
1.283211875E0,2.724334717E0,-7.877219238E0,6.395300903E0,1.050582963E1
1.293229875E0,1.342857513E0,-6.812782745E0,7.319479065E0,1.008920457E1
1.303247875E0,2.210902405E-1,-6.245312805E0,7.965984650E0,1.012470861E1
1.313266875E0,3.778143311E-1,-5.641618195E0,5.764512634E0,8.074664416E0
1.323284875E0,7.051835632E-1,-4.582869873E0,2.694247284E0,5.362737040E0
1.333302875E0,5.662724304E-1,-5.888305206E0,5.722300415E0,8.230280962E0
1.343320875E0,7.831713867E-1,-5.541476440E0,4.498744812E0,7.180530861E0
1.353338875E0,5.542973328E-1,-4.542304230E0,-2.785707092E-1,4.584471059E0
1.363356875E0,-1.797761536E-1,-3.945046234E0,-1.531315613E0,4.235638885E0
1.373374875E0,3.754193115E-1,-3.685036926E0,-1.410965881E0,3.963743373E0
1.383392875E0,1.245410156E0,-4.212090912E0,-2.805166626E-1,4.401300479E0
1.393410875E0,2.554587708E0,-4.253704376E0,-1.335373077E0,5.138398635E0
1.403428875E0,3.697461090E0,-3.490591278E0,-2.317630463E0,5.588099583E0
1.413446875E0,4.464166718E0,-5.182971954E0,-7.086264038E-1,6.877073080E0
1.423464875E0,5.129233704E0,-8.159532166E0,-4.340972900E-3,9.637791365E0
1.433482875E0,5.024601288E0,-9.048234100E0,1.484762421E0,1.045570074E1
1.443500875E0,4.337829437E0,-9.808652802E0,4.131109314E0,1.149315005E1
1.453518875E0,5.250331879E0,-9.788893890E0,5.442981262E0,1.236990192E1
1.463536875E0,5.638325043E0,-8.503666534E0,6.113137665E0,1.189426357E1
1.473555875E0,6.462810516E0,-7.346423035E0,7.029382324E0,1.204782416E1
1.483573875E0,6.448440399E0,-6.837780762E0,7.394024048E0,1.195864628E1
1.493591875E0,5.775439911E0,-7.371271362E0,6.997648315E0,1.169009964E1
1.503609875E0,5.555547180E0,-8.612340546E0,7.560178528E0,1.273549424E1
1.513627875E0,5.710624695E0,-1.006836273E1,8.379724274E0,1.428995946E1
1.523645875E0,5.607638855E0,-8.823102264E0,7.626041565E0,1.294021859E1
1.533663875E0,5.139562225E0,-8.275391235E0,7.684270477E0,1.240746601E1
1.543681875E0,3.974085846E0,-8.164471893E0,6.566844177E0,1.120604310E1
1.553699875E0,2.637515259E0,-8.202642517E0,7.074738007E0,1.114862094E1
1.563717875E0,1.137035522E0,-7.586523743E0,7.899223480E0,1.101117268E1
1.573735875E0,4.914280701E-1,-6.319558411E0,6.903494110E0,9.372115609E0
1.583753875E0,2.062710571E-1,-5.921236725E0,7.302863617E0,9.404010267E0
1.593771875E0,-2.734812927E-1,-5.925877075E0,7.607480164E0,9.646997749E0
1.603789875E0,-5.852828979E-1,-5.889353027E0,8.189769287E0,1.010442260E1
1.613807875E0,-7.782316589E-1,-5.594915314E0,8.239465942E0,9.989870915E0
1.623825875E0,-8.158035278E-1,-4.967569885E0,7.526199188E0,9.054609886E0
1.633843875E0,-6.987469482E-1,-4.192481689E0,6.365363159E0,7.653953107E0
1.643862875E0,-3.864962769E-1,-3.610192566E0,5.108576660E0,6.267409770E0
1.653880875E0,1.326242065E-1,-3.412004700E0,4.753215637E0,5.852557060E0
1.663898875E0,7.831713867E-1,-3.526366882E0,4.994962921E0,6.164274117E0
1.673916875E0,1.538949738E0,-3.873794403E0,5.279371490E0,6.726545377E0
1.683934875E0,2.310744781E0,-4.967420197E0,5.434149628E0,7.716526876E0
1.693952875E0,3.252586212E0,-6.775061188E0,5.428012390E0,9.270603523E0
1.703970875E0,4.449347534E0,-8.400231628E0,5.012027435E0,1.074620882E1
1.713988875E0,5.524561615E0,-9.518406372E0,4.327800293E0,1.182584865E1
1.724006875E0,6.731651459E0,-1.023077499E1,3.846101990E0,1.283652558E1
1.734024875E0,7.998467102E0,-9.567653961E0,3.753145294E0,1.302311706E1
1.744042875E0,8.890312500E0,-7.539371796E0,3.887416077E0,1.228787155E1
1.754060875E0,9.671837311E0,-4.733905792E0,5.109474792E0,1.191893593E1
1.764078875E0,1.032747391E1,-1.963466949E0,7.327262878E0,1.281408214E1
1.774096875E0,1.044497955E1,1.835483093E0,8.306975555E0,1.347117066E1
1.784114875E0,9.610764313E0,5.521867218E0,1.002659958E1,1.494625396E1
1.794132875E0,8.682095490E0,6.770570526E0,1.254915390E1,1.669433050E1
1.804151875E0,7.622299347E0,5.131628723E0,1.375759094E1,1.654401309E1
1.814169875E0,6.625372467E0,2.623594208E0,1.479059280E1,1.641768688E1
1.824187875E0,5.733377380E0,-2.862048340E-1,1.436457870E1,1.546915159E1
1.834205875E0,4.037553864E0,-2.681673431E0,1.410217438E1,1.491189243E1
1.844223875E0,2.471809845E0,-4.190535736E0,1.405142990E1,1.486987276E1
1.854241875E0,1.888772278E0,-4.966072998E0,1.328023361E1,1.430363403E1
1.864259875E0,1.514400787E0,-4.652624817E0,1.228689926E1,1.322528718E1
1.874277875E0,1.287622375E0,-2.861599274E0,1.127290787E1,1.170150305E1
1.884295875E0,1.362167358E0,-8.881031799E-1,1.099852844E1,1.111808684E1
1.894313875E0,1.443598022E0,4.013154602E-1,1.054751633E1,1.065340931E1
1.904331875E0,1.773661652E0,1.389261017E0,1.058927948E1,1.082629954E1
1.914349875E0,2.025587769E0,1.971849518E0,1.083192490E1,1.119472167E1
1.924367333E0,2.386187897E0,2.244432678E0,1.088970474E1,1.137176504E1
1.934385333E0,2.680625610E0,2.040406952E0,1.200847824E1,1.247207135E1
1.944403333E0,2.980751495E0,1.007854156E0,1.351734055E1,1.387872995E1
1.954421333E0,3.251837769E0,-3.538641357E-1,1.429946411E1,1.466882213E1
1.964440333E0,3.447929993E0,-1.432371368E0,1.472832230E1,1.519418924E1
1.974458333E0,3.598516846E0,-2.104623413E0,1.531315613E1,1.587046042E1
1.984476333E0,3.664529572E0,-2.208357697E0,1.547706528E1,1.605755804E1
1.994494333E0,3.618126068E0,-1.994452515E0,1.470332428E1,1.527273459E1
2.004512333E0,3.433859253E0,-1.388512573E0,1.371013962E1,1.420166486E1
2.014530333E0,3.012635193E0,-4.561015320E-1,1.249242188E1,1.285863926E1
2.024548333E0,2.734962616E0,3.207829285E-1,1.112741043E1,1.146307922E1
2.034566333E0,3.056943054E0,8.128097534E-2,1.036774017E1,1.080932670E1
2.044584333E0,3.635789337E0,-3.811074829E-1,1.006896149E1,1.071205827E1
2.054602333E0,4.290827179E0,-8.128097534E-1,1.037821838E1,1.125963030E1
2.064620333E0,4.793481903E0,-2.305505676E0,1.122650436E1,1.242285094E1
2.074638333E0,5.265450439E0,-4.010609894E0,1.265797760E1,1.428405954E1
2.084656333E0,5.471422119E0,-6.353837128E0,1.381222733E1,1.615813510E1
2.094674333E0,5.062771912E0,-7.987839203E0,1.369322479E1,1.664156362E1
2.104692333E0,4.231101379E0,-8.036787415E0,1.330523163E1,1.610966665E1
2.114710333E0,3.484903107E0,-7.777825928E0,1.213092361E1,1.482560061E1
2.124729333E0,3.002905426E0,-7.837102661E0,1.108774292E1,1.390595779E1
2.134747333E0,2.677182770E0,-7.479496307E0,9.814340973E0,1.262661718E1
2.144765333E0,2.065554657E0,-6.395450592E0,8.655600586E0,1.095845454E1
2.154783333E0,1.312770081E0,-5.060227203E0,8.127648468E0,9.663743284E0
2.164801333E0,7.795788574E-1,-3.841910706E0,8.165220337E0,9.057529697E0
2.174819333E0,6.005511475E-1,-2.786605225E0,8.530161438E0,8.993858155E0
2.184837333E0,9.529183960E-1,-1.979034576E0,8.589138794E0,8.865547730E0
2.194855333E0,1.957479401E0,-2.120490417E0,8.955576782E0,9.409068005E0
2.204873333E0,2.993325348E0,-3.365301819E0,1.006402176E1,1.102586899E1
2.214891333E0,3.511398010E0,-4.660558319E0,1.144085861E1,1.284305126E1
2.224909333E0,3.761527863E0,-4.597539368E0,1.221175552E1,1.357989076E1
2.234927333E0,3.167413330E0,-4.246219940E0,1.230246689E1,1.339453555E1
2.255741250E0,-4.271667023E0,1.161734161E0,7.902516632E0,9.057954214E0
2.265760250E0,-4.089196472E0,1.641187134E0,8.764424286E0,9.809697042E0
2.275778250E0,-4.015250244E0,2.327509918E0,9.870324554E0,1.090700893E1
2.285796250E0,-3.701502686E0,2.751877441E0,1.026086243E1,1.124985552E1
2.295814250E0,-3.579057312E0,3.760330353E0,9.933044128E0,1.120781429E1
2.305832250E0,-3.330873413E0,4.335284729E0,9.904603271E0,1.131329206E1
2.315850250E0,-3.292104034E0,4.500990143E0,9.731862488E0,1.121632777E1
2.325868250E0,-3.340752869E0,4.336931305E0,9.756261749E0,1.118723586E1
2.335886250E0,-3.327729950E0,3.868854675E0,9.566306763E0,1.084232670E1
2.345904250E0,-3.370690613E0,3.380270691E0,9.057664490E0,1.023860690E1
2.355922250E0,-3.312761078E0,3.067271576E0,8.767118683E0,9.861283430E0
2.365940250E0,-3.186573486E0,2.963986359E0,8.518934784E0,9.566175598E0
2.375958250E0,-3.007845154E0,3.008743286E0,8.243357849E0,9.276454994E0
2.385976250E0,-2.808609467E0,3.167862396E0,8.253836060E0,9.276284224E0
2.395994250E0,-2.667752380E0,3.262465668E0,8.336464233E0,9.341157365E0
