"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.041413750E0,7.020999756E0,4.770729218E0,2.966980133E0,8.992066834E0
1.051436750E0,7.286996613E0,4.988376617E0,3.453767853E0,9.482232506E0
1.061458750E0,7.422913971E0,4.899910583E0,3.736080780E0,9.647127818E0
1.071481750E0,7.619006195E0,4.880301361E0,3.877686310E0,9.843934574E0
1.081504750E0,7.426506500E0,4.817881165E0,4.148622894E0,9.776300406E0
1.091526750E0,6.665489044E0,4.930297394E0,4.516108704E0,9.440964697E0
1.101549750E0,6.352340240E0,4.984035645E0,4.555776215E0,9.270810901E0
1.111572750E0,6.438261566E0,4.898264008E0,4.279600525E0,9.152004312E0
1.121594750E0,6.175408173E0,4.875661011E0,4.293371887E0,8.963301766E0
1.131617750E0,6.073320465E0,4.997956696E0,4.355193329E0,8.990689714E0
1.141640750E0,6.488856354E0,5.316194916E0,4.209845581E0,9.385626510E0
1.151663750E0,6.745273132E0,5.778583374E0,4.310735779E0,9.872850571E0
1.161685750E0,6.868466949E0,5.953569489E0,4.709506531E0,1.023720077E1
1.171708750E0,7.310348053E0,5.613776093E0,4.652325439E0,1.032471804E1
1.181731750E0,7.599097595E0,5.415288849E0,4.377197571E0,1.030686646E1
1.191753750E0,7.596103821E0,5.642067261E0,4.297413483E0,1.039237600E1
1.201776750E0,7.438930664E0,5.585484924E0,4.276756439E0,1.023845579E1
1.211799750E0,7.015161896E0,5.930667114E0,4.509971466E0,1.023353074E1
1.221821750E0,7.617658997E0,5.854625244E0,4.255201263E0,1.050771636E1
1.231844750E0,8.211623840E0,5.781577148E0,4.311334534E0,1.092908989E1
1.241867750E0,8.594527588E0,5.694308624E0,4.376299438E0,1.120013625E1
1.251889750E0,9.001531219E0,5.491330719E0,4.584217072E0,1.149770949E1
1.261912750E0,9.132059784E0,5.386398926E0,5.051245880E0,1.174405783E1
1.271935750E0,9.237740021E0,4.790787506E0,4.784799957E0,1.145346219E1
1.281957750E0,9.246122589E0,4.793182526E0,4.767885132E0,1.145417436E1
1.291980750E0,9.267827454E0,4.790188751E0,4.424648895E0,1.133208065E1
1.302003750E0,9.561965790E0,4.758454742E0,3.857478333E0,1.135580118E1
1.312025750E0,9.546398163E0,4.985233154E0,3.634591827E0,1.136646494E1
1.322048750E0,9.799222412E0,4.929249573E0,3.215613098E0,1.143076676E1
1.332071750E0,9.995614014E0,4.547393646E0,3.066373444E0,1.140147949E1
1.342093750E0,9.959539032E0,4.085005188E0,3.102598114E0,1.120293712E1
1.352116750E0,9.803114319E0,3.558699646E0,3.168311462E0,1.089970601E1
1.362139750E0,9.737550659E0,2.909050598E0,3.219055939E0,1.066043101E1
1.372161750E0,9.800120544E0,2.400108948E0,3.362308044E0,1.063522454E1
1.382184750E0,9.764344940E0,2.366878052E0,3.470233612E0,1.062953739E1
1.392207750E0,9.965825958E0,2.493664398E0,3.107537842E0,1.073279277E1
1.402229750E0,1.011895752E1,2.558180237E0,2.733914795E0,1.078943360E1
1.412252750E0,1.000773880E1,2.561174011E0,2.507286072E0,1.063018963E1
1.422275750E0,9.747430115E0,2.399061127E0,2.146685944E0,1.026528853E1
1.432297750E0,9.603130188E0,1.771715698E0,1.177750854E0,9.835963755E0
1.442320750E0,9.090446320E0,1.481918335E0,9.102571106E-1,9.255315459E0
1.452343750E0,8.742569733E0,1.564396820E0,8.301736450E-1,8.920148610E0
1.462365750E0,8.784183197E0,1.232387238E0,5.980064392E-1,8.890346700E0
1.472388750E0,8.614735565E0,8.888516235E-1,7.476951599E-1,8.692685093E0
1.482411750E0,8.229586487E0,7.990383911E-1,1.308129730E0,8.371126536E0
1.492433750E0,8.127349091E0,3.360511780E-1,1.098715210E0,8.208161106E0
1.502456750E0,8.259524231E0,-1.532812500E-1,9.758207703E-1,8.318380963E0
1.512479750E0,8.210725708E0,-1.498384094E-1,1.165775757E0,8.294425918E0
1.522501750E0,8.097411346E0,1.077758789E-2,1.278042297E0,8.197656908E0
1.532524750E0,7.999814301E0,4.131408691E-2,1.525028687E0,8.143982330E0
1.542547750E0,7.721842346E0,-6.117778015E-1,1.399589539E0,7.871465694E0
1.552569750E0,7.898175659E0,-7.851173401E-1,1.479523315E0,8.073820485E0
1.562592750E0,7.329208832E0,-9.892927551E-1,2.019001465E0,7.666313923E0
1.572615750E0,7.386838989E0,-1.453477478E0,2.130519562E0,7.824135776E0
1.582637750E0,7.624544678E0,-1.688788147E0,2.524500275E0,8.207240010E0
1.592660875E0,7.223079529E0,-2.196681976E0,2.905158691E0,8.089390373E0
1.602683875E0,6.985972595E0,-2.758463745E0,2.868185577E0,8.039864666E0
1.612705875E0,7.352859650E0,-3.047512665E0,2.926115112E0,8.480213919E0
1.622728875E0,7.383545837E0,-3.444187775E0,3.028053131E0,8.691851605E0
1.632751875E0,7.512278137E0,-3.867357788E0,3.030747528E0,8.976425216E0
1.642774875E0,7.850275269E0,-4.126169586E0,3.114423523E0,9.399560156E0
1.652796875E0,8.191864929E0,-4.321363678E0,3.214714966E0,9.803837380E0
1.662819875E0,8.808283081E0,-4.413871307E0,3.252137146E0,1.037518707E1
1.672842875E0,9.219777374E0,-4.466262360E0,3.162623291E0,1.072165940E1
1.682864875E0,9.536219330E0,-4.915029144E0,3.164868622E0,1.118540942E1
1.692887875E0,9.917476501E0,-5.086871796E0,3.157234497E0,1.158450407E1
1.702910875E0,9.965975647E0,-4.979095917E0,3.167113953E0,1.158199799E1
1.712932875E0,1.014365616E1,-4.843028870E0,3.191812592E0,1.168487726E1
1.722955875E0,1.033391052E1,-4.851411438E0,3.103047180E0,1.183024942E1
1.732978875E0,1.063164139E1,-4.883444824E0,2.881358185E0,1.204915171E1
1.743000875E0,1.090482330E1,-4.803660736E0,2.631078644E0,1.220298744E1
1.753023875E0,1.107891129E1,-4.630321198E0,2.431244202E0,1.225124884E1
1.763046875E0,1.121512802E1,-4.646936646E0,2.350711670E0,1.236523199E1
1.773068875E0,1.189321793E1,-3.726650391E0,1.930984497E0,1.261210755E1
1.783091875E0,1.239452545E1,-3.114124146E0,1.557810516E0,1.287434674E1
